age,breeder,category,certificate,cleaned_strings,description,details,gender,gpt_dict,image_path,image_url,in_stock,length_cm,length_inches,link,multiple_fish,out_of_stock,price,sku,split,tags,tags_from_category,tags_from_title,tags_list,title,uuid,variety,source
,Takatatsu,Group_Koi,,"['14""', '(36cm)', 'Female', 'Kin', 'Showa', '[Takatatsu]', '2025WINTER-001']",,,Female,,champkoi_data/338341_A_14_(36cm)_Female_Kin_Showa_[Takatatsu]_—_2025WINTER-001.jpg,https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2025WINTER-001_600x_066cdfb6-4757-44f3-8c08-9d57945cf3b8.jpg?v=1736536515,True,36cm,"14""",https://www.champkoi.com/products/2025winter-001,True,False,600.0,9689732579640,"['A:', '14""', '(36cm)', 'Female', 'Kin', 'Showa', '[Takatatsu]', '—', '2025WINTER-001']","['Aragoke', 'Kin Showa']",,,"['Aragoke', 'Kin Showa']","A: 14"" (36cm) Female Kin Showa [Takatatsu] — 2025WINTER-001",338341,"A: 14"" (36cm) Female Kin Showa [Takatatsu]",champkoi
,Takatatsu,Group_Koi,,"['15""', '(38cm)', 'Male', 'Aragoke', '[Takatatsu]', '2025WINTER-002']",,,Male,,champkoi_data/78df39_A_15_(38cm)_Male_Aragoke_[Takatatsu]_—_2025WINTER-002.jpg,https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2025WINTER-002_600x_9d58b463-e006-4e7b-b03e-f6a9961fddd4.jpg?v=1736536822,False,38cm,"15""",https://www.champkoi.com/products/2025winter-002,True,True,600.0,9689749619000,"['A:', '15""', '(38cm)', 'Male', 'Aragoke', '[Takatatsu]', '—', '2025WINTER-002']","['Aragoke', 'Doitsu Showa']",,,"['Aragoke', 'Doitsu Showa']","A: 15"" (38cm) Male Aragoke [Takatatsu] — 2025WINTER-002",78df39,"A: 15"" (38cm) Male Aragoke [Takatatsu]",champkoi
,Kaneko,Group_Koi,,"['17""', '(43cm)', 'Male', 'Ginrin', 'Matsukawabake', '[Kaneko]', '2025WINTER-004']",,,Male,,champkoi_data/e97307_A_17_(43cm)_Male_Ginrin_Matsukawabake_[Kaneko]_—_2025WINTER-004.jpg,https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2025WINTER-004_600x_a547c1fb-ea45-4a28-9847-d0b1d049c710.jpg?v=1736537124,True,43cm,"17""",https://www.champkoi.com/products/2025winter-004,True,False,600.0,9689767248184,"['A:', '17""', '(43cm)', 'Male', 'Ginrin', 'Matsukawabake', '[Kaneko]', '—', '2025WINTER-004']","['Ginrin Matsukawabake', 'Kujaku', 'Tancho Showa']",,,"['Ginrin Matsukawabake', 'Kujaku', 'Tancho Showa']","A: 17"" (43cm) Male Ginrin Matsukawabake [Kaneko] — 2025WINTER-004",e97307,"A: 17"" (43cm) Male Ginrin Matsukawabake [Kaneko]",champkoi
,Kaneko,Group_Koi,,"['16""', '(41cm)', 'Male', 'Ginrin', 'Matsukawabake', '[Kaneko]', '2025WINTER-005']",,,Male,,champkoi_data/3f1171_A_16_(41cm)_Male_Ginrin_Matsukawabake_[Kaneko]_—_2025WINTER-005.jpg,https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2025WINTER-005_600x_3d316380-1188-4125-a4c4-da76b46eda23.jpg?v=1736537402,True,41cm,"16""",https://www.champkoi.com/products/2025winter-005,True,False,600.0,9689783796024,"['A:', '16""', '(41cm)', 'Male', 'Ginrin', 'Matsukawabake', '[Kaneko]', '—', '2025WINTER-005']","['Doitsu Kujaku', 'Ginrin Matsukawabake', 'Kujaku']",,,"['Doitsu Kujaku', 'Ginrin Matsukawabake', 'Kujaku']","A: 16"" (41cm) Male Ginrin Matsukawabake [Kaneko] — 2025WINTER-005",3f1171,"A: 16"" (41cm) Male Ginrin Matsukawabake [Kaneko]",champkoi
,Kaneko,Group_Koi,,"['15""', '(38cm)', 'Female', 'Kujaku', '[Kaneko]', '2025WINTER-006']",,,Female,,champkoi_data/a5a7a0_A_15_(38cm)_Female_Kujaku_[Kaneko]_—_2025WINTER-006.jpg,https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2025WINTER-006_600x_84484c8a-fc55-4a6c-957a-4e0795adaeec.jpg?v=1736537615,True,38cm,"15""",https://www.champkoi.com/products/2025winter-006,True,False,600.0,9689796247864,"['A:', '15""', '(38cm)', 'Female', 'Kujaku', '[Kaneko]', '—', '2025WINTER-006']","['Chagoi', 'Doitsu Kujaku', 'Kujaku', 'Tancho Kujaku']",,,"['Chagoi', 'Doitsu Kujaku', 'Kujaku', 'Tancho Kujaku']","A: 15"" (38cm) Female Kujaku [Kaneko] — 2025WINTER-006",a5a7a0,"A: 15"" (38cm) Female Kujaku [Kaneko]",champkoi
,Marusaka,Group_Koi,,"['16""', '(41cm)', 'Female', 'Ayawakaba', '[Marusaka]', '2025WINTER-007']",,,Female,,champkoi_data/5cb423_A_16_(41cm)_Female_Ayawakaba_[Marusaka]_—_2025WINTER-007.jpg,https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2025WINTER-007_600x_f514f79a-4eef-478c-83e6-70e29eb85fbd.jpg?v=1736537718,True,41cm,"16""",https://www.champkoi.com/products/2025winter-007,True,False,600.0,9689802604856,"['A:', '16""', '(41cm)', 'Female', 'Ayawakaba', '[Marusaka]', '—', '2025WINTER-007']",['Ayawakaba'],,,['Ayawakaba'],"A: 16"" (41cm) Female Ayawakaba [Marusaka] — 2025WINTER-007",5cb423,"A: 16"" (41cm) Female Ayawakaba [Marusaka]",champkoi
,Marusaka,Group_Koi,,"['15""', '(38cm)', 'Male', 'Ayawakaba', '[Marusaka]', '2025WINTER-008']",,,Male,,champkoi_data/014276_A_15_(38cm)_Male_Ayawakaba_[Marusaka]_—_2025WINTER-008.jpg,https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2025WINTER-008_600x_59546803-cab3-4490-a587-28c47830af3c.jpg?v=1736537811,False,38cm,"15""",https://www.champkoi.com/products/2025winter-008,True,True,600.0,9689808240952,"['A:', '15""', '(38cm)', 'Male', 'Ayawakaba', '[Marusaka]', '—', '2025WINTER-008']",['Ayawakaba'],,,['Ayawakaba'],"A: 15"" (38cm) Male Ayawakaba [Marusaka] — 2025WINTER-008",014276,"A: 15"" (38cm) Male Ayawakaba [Marusaka]",champkoi
,Hiroi,Group_Koi,,"['16""', '(41cm)', 'Male', 'Ginrin', 'Tancho', 'Goshike', '[Hiroi]', '2025WINTER-010']",,,Male,,champkoi_data/20d639_A_16_(41cm)_Male_Ginrin_Tancho_Goshike_[Hiroi]_—_2025WINTER-010.jpg,https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2025WINTER-010_600x_c69facdf-57c0-4cce-9e2b-34933eee3771.jpg?v=1736538114,False,41cm,"16""",https://www.champkoi.com/products/2025winter-010,True,True,600.0,9689827180856,"['A:', '16""', '(41cm)', 'Male', 'Ginrin', 'Tancho', 'Goshike', '[Hiroi]', '—', '2025WINTER-010']","['Doitsu Kohaku', 'Ginrin Tancho Goshike', 'Platinum Ogon']",,,"['Doitsu Kohaku', 'Ginrin Tancho Goshike', 'Platinum Ogon']","A: 16"" (41cm) Male Ginrin Tancho Goshike [Hiroi] — 2025WINTER-010",20d639,"A: 16"" (41cm) Male Ginrin Tancho Goshike [Hiroi]",champkoi
,Hosokai,Group_Koi,,"['17""', '(43cm)', 'Female', 'Doitsu', 'Benigoi', '[Hosokai]', '2025WINTER-011']",,,Female,,champkoi_data/672661_A_17_(43cm)_Female_Doitsu_Benigoi_[Hosokai]_—_2025WINTER-011.jpg,https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2025WINTER-011_600x_2a32352e-12d7-4765-b761-2af36814ee40.jpg?v=1736538213,False,43cm,"17""",https://www.champkoi.com/products/2025winter-011,True,True,600.0,9689832980792,"['A:', '17""', '(43cm)', 'Female', 'Doitsu', 'Benigoi', '[Hosokai]', '—', '2025WINTER-011']","['Doitsu Benigoi', 'Kujaku']",,,"['Doitsu Benigoi', 'Kujaku']","A: 17"" (43cm) Female Doitsu Benigoi [Hosokai] — 2025WINTER-011",672661,"A: 17"" (43cm) Female Doitsu Benigoi [Hosokai]",champkoi
,Maruhiro,Group_Koi,,"['16""', '(41cm)', 'Female', 'Doitsu', 'Showa', '[Maruhiro]', '2025WINTER-030']",,,Female,,champkoi_data/e64029_A_16_(41cm)_Female_Doitsu_Showa_[Maruhiro]_—_2025WINTER-030.jpg,https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2025WINTER-030_600x_e047b757-f82f-428e-9e0c-43c4bbc24812.jpg?v=1736543406,True,41cm,"16""",https://www.champkoi.com/products/2025winter-030,True,False,600.0,9690110591288,"['A:', '16""', '(41cm)', 'Female', 'Doitsu', 'Showa', '[Maruhiro]', '—', '2025WINTER-030']","['Doitsu Karashi', 'Doitsu Showa', 'Ginrin Hi Utsuri', 'Shusui']",,,"['Doitsu Karashi', 'Doitsu Showa', 'Ginrin Hi Utsuri', 'Shusui']","A: 16"" (41cm) Female Doitsu Showa [Maruhiro] — 2025WINTER-030",e64029,"A: 16"" (41cm) Female Doitsu Showa [Maruhiro]",champkoi
,Maruhiro,Group_Koi,,"['16""', '(41cm)', 'Female', 'Shusui', '[Maruhiro]', '2025WINTER-031']",,,Female,,champkoi_data/b37f3f_A_16_(41cm)_Female_Shusui_[Maruhiro]_—_2025WINTER-031.jpg,https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2025WINTER-031_600x_304a5663-f953-4429-989f-4f9cd916d491.jpg?v=1736543465,True,41cm,"16""",https://www.champkoi.com/products/2025winter-031,True,False,600.0,9690114097464,"['A:', '16""', '(41cm)', 'Female', 'Shusui', '[Maruhiro]', '—', '2025WINTER-031']","['Doisu Shiro Utsuri', 'Ki Usturi', 'Kujaku', 'Shusui']",,,"['Doisu Shiro Utsuri', 'Ki Usturi', 'Kujaku', 'Shusui']","A: 16"" (41cm) Female Shusui [Maruhiro] — 2025WINTER-031",b37f3f,"A: 16"" (41cm) Female Shusui [Maruhiro]",champkoi
,Maruhiro,Group_Koi,,"['16""', '(41cm)', 'Female', 'Ginrin', 'Kohaku', '[Maruhiro]', '2025WINTER-032']",,,Female,,champkoi_data/18b2e9_A_16_(41cm)_Female_Ginrin_Kohaku_[Maruhiro]_—_2025WINTER-032.jpg,https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2025WINTER-032_600x_e989f5bc-3a44-4d78-9f5c-2bdb874344c3.jpg?v=1736543666,True,41cm,"16""",https://www.champkoi.com/products/2025winter-032,True,False,600.0,9690122486072,"['A:', '16""', '(41cm)', 'Female', 'Ginrin', 'Kohaku', '[Maruhiro]', '—', '2025WINTER-032']","['Doitsu Sanke', 'Doitsu Tancho Showa', 'Ginrin Kohaku', 'Ginrin Ochiba']",,,"['Doitsu Sanke', 'Doitsu Tancho Showa', 'Ginrin Kohaku', 'Ginrin Ochiba']","A: 16"" (41cm) Female Ginrin Kohaku [Maruhiro] — 2025WINTER-032",18b2e9,"A: 16"" (41cm) Female Ginrin Kohaku [Maruhiro]",champkoi
,Otsuka,Group_Koi,,"['17""', '(43cm)', 'Female', 'Aka', 'Matsuba', '[Otsuka]', '2025WINTER-033']",,,Female,,champkoi_data/34e9a0_A_17_(43cm)_Female_Aka_Matsuba_[Otsuka]_—_2025WINTER-033.jpg,https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2025WINTER-033_600x_ec7bf399-cf1e-48d5-b7f0-33bb4828147a.jpg?v=1736543777,True,43cm,"17""",https://www.champkoi.com/products/2025winter-033,True,False,600.0,9690125992248,"['A:', '17""', '(43cm)', 'Female', 'Aka', 'Matsuba', '[Otsuka]', '—', '2025WINTER-033']","['Aka Matsuba', 'Ginrin Benigoi', 'Goshiki', 'Kin Showa']",,,"['Aka Matsuba', 'Ginrin Benigoi', 'Goshiki', 'Kin Showa']","A: 17"" (43cm) Female Aka Matsuba [Otsuka] — 2025WINTER-033",34e9a0,"A: 17"" (43cm) Female Aka Matsuba [Otsuka]",champkoi
,Otsuka,Group_Koi,,"['15""', '(38cm)', 'Male', 'Doitsu', 'Yamato', '[Otsuka]', '2025WINTER-034']",,,Male,,champkoi_data/1732e8_A_15_(38cm)_Male_Doitsu_Yamato_[Otsuka]_—_2025WINTER-034.jpg,https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2025WINTER-034_600x_4c8ec1bb-6479-4d40-b364-db830551324a.jpg?v=1736543863,True,38cm,"15""",https://www.champkoi.com/products/2025winter-034,True,False,600.0,9690128482616,"['A:', '15""', '(38cm)', 'Male', 'Doitsu', 'Yamato', '[Otsuka]', '—', '2025WINTER-034']","['Doitsu Yamato', 'Ginrin Benigoi', 'Tancho Goshiki']",,,"['Doitsu Yamato', 'Ginrin Benigoi', 'Tancho Goshiki']","A: 15"" (38cm) Male Doitsu Yamato [Otsuka] — 2025WINTER-034",1732e8,"A: 15"" (38cm) Male Doitsu Yamato [Otsuka]",champkoi
,Taniguchi,Group_Koi,,"['15""', '(38cm)', 'Female', 'Golden', 'Corn', '[Taniguchi]', '2025WINTER-035']",,,Female,,champkoi_data/e630ab_A_15_(38cm)_Female_Golden_Corn_[Taniguchi]_—_2025WINTER-035.jpg,https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2025WINTER-035_600x_a7f92ff4-83f5-4bb8-89af-027a0bbf4213.jpg?v=1736543942,False,38cm,"15""",https://www.champkoi.com/products/2025winter-035,True,True,600.0,9690130514232,"['A:', '15""', '(38cm)', 'Female', 'Golden', 'Corn', '[Taniguchi]', '—', '2025WINTER-035']","['Golden Corn', 'Shiro Utsuri', 'Showa']",,,"['Golden Corn', 'Shiro Utsuri', 'Showa']","A: 15"" (38cm) Female Golden Corn [Taniguchi] — 2025WINTER-035",e630ab,"A: 15"" (38cm) Female Golden Corn [Taniguchi]",champkoi
,Maruhiro,Group_Koi,,"['18""', '(46cm)', 'Male', 'Beko', '[Maruhiro]', '2025WINTER-036']",,,Male,,champkoi_data/13ce8c_A_18_(46cm)_Male_Beko_[Maruhiro]_—_2025WINTER-036.jpg,https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2025WINTER-036_600x_883bed1c-90fe-48ca-94b2-f13166789cc4.jpg?v=1736544002,True,46cm,"18""",https://www.champkoi.com/products/2025winter-036,True,False,600.0,9690132152632,"['A:', '18""', '(46cm)', 'Male', 'Beko', '[Maruhiro]', '—', '2025WINTER-036']","['Beko', 'Ochiba']",,,"['Beko', 'Ochiba']","A: 18"" (46cm) Male Beko [Maruhiro] — 2025WINTER-036",13ce8c,"A: 18"" (46cm) Male Beko [Maruhiro]",champkoi
,Ozumi,Group_Koi,,"['15""', '(38cm)', 'Ochiba', '[Ozumi]', '2025WINTER-046']",,,,,champkoi_data/beb639_A_15_(38cm)_Ochiba_[Ozumi]_—_2025WINTER-046.jpg,https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2025WINTER-046_600x_6cff64f1-0e6e-4912-b930-bbc20d6b27de.jpg?v=1741110960,True,38cm,"15""",https://www.champkoi.com/products/2025winter-046,True,False,600.0,9818559480120,"['A:', '15""', '(38cm)', 'Ochiba', '[Ozumi]', '—', '2025WINTER-046']","['Dragon Scale', 'Ochiba']",,,"['Dragon Scale', 'Ochiba']","A: 15"" (38cm) Ochiba [Ozumi] — 2025WINTER-046",beb639,"A: 15"" (38cm) Ochiba [Ozumi]",champkoi
,,Single_Koi,,"['25C-001', 'Kohaku']",,,,,champkoi_data/f2d44e_Default_Title_—_25C-001_Kohaku.jpg,https://cdn.shopify.com/s/files/1/0749/6132/2296/files/25C-001_600x_5b78bffa-6517-4785-b79c-3c4c629f956f.jpg?v=1744417785,True,,,https://www.champkoi.com/products/25c-001-kohaku,False,False,600.0,9868732924216,"['Default', 'Title', '—', '25C-001', 'Kohaku']",['Kohaku'],,,['Kohaku'],Default Title — 25C-001 Kohaku,f2d44e,Default Title,champkoi
,,Single_Koi,,"['25C-002', 'Kohaku']",,,,,champkoi_data/539603_Default_Title_—_25C-002_Kohaku.jpg,https://cdn.shopify.com/s/files/1/0749/6132/2296/files/25C-002_600x_a73382f9-376b-4ce7-bc27-7a6f04255677.jpg?v=1744417804,True,,,https://www.champkoi.com/products/25c-002-kohaku,False,False,600.0,9868733088056,"['Default', 'Title', '—', '25C-002', 'Kohaku']",['Kohaku'],,,['Kohaku'],Default Title — 25C-002 Kohaku,539603,Default Title,champkoi
,,Single_Koi,,"['25C-003', 'Kohaku']",,,,,champkoi_data/2126f3_Default_Title_—_25C-003_Kohaku.jpg,https://cdn.shopify.com/s/files/1/0749/6132/2296/files/25C-003_600x_9cdc3533-41e3-49eb-9459-5852bf7053dc.jpg?v=1744417825,True,,,https://www.champkoi.com/products/25c-003-kohaku,False,False,600.0,9868733448504,"['Default', 'Title', '—', '25C-003', 'Kohaku']",['Kohaku'],,,['Kohaku'],Default Title — 25C-003 Kohaku,2126f3,Default Title,champkoi
,,Single_Koi,,"['25C-004', 'Kohaku']",,,,,champkoi_data/5c0dc1_Default_Title_—_25C-004_Kohaku.jpg,https://cdn.shopify.com/s/files/1/0749/6132/2296/files/25C-004_600x_fa84a240-b812-4f80-8e16-c8343945e01a.jpg?v=1744417920,True,,,https://www.champkoi.com/products/25c-004-kohaku,False,False,600.0,9868733645112,"['Default', 'Title', '—', '25C-004', 'Kohaku']",['Kohaku'],,,['Kohaku'],Default Title — 25C-004 Kohaku,5c0dc1,Default Title,champkoi
,,Single_Koi,,"['25C-005', 'Kohaku']",,,,,champkoi_data/b2c648_Default_Title_—_25C-005_Kohaku.jpg,https://cdn.shopify.com/s/files/1/0749/6132/2296/files/25C-005_600x_bc11853d-0ec2-407b-a191-c8d9a9b1ae4c.jpg?v=1744417939,True,,,https://www.champkoi.com/products/25c-005-kohaku,False,False,600.0,9868733743416,"['Default', 'Title', '—', '25C-005', 'Kohaku']",['Kohaku'],,,['Kohaku'],Default Title — 25C-005 Kohaku,b2c648,Default Title,champkoi
,,Single_Koi,,"['25C-006', 'Kohaku']",,,,,champkoi_data/aa355a_Default_Title_—_25C-006_Kohaku.jpg,https://cdn.shopify.com/s/files/1/0749/6132/2296/files/25C-006_600x_70f915c4-5624-47fc-8a93-bad1084e4e0d.jpg?v=1744417960,True,,,https://www.champkoi.com/products/25c-006-kohaku,False,False,600.0,9868733874488,"['Default', 'Title', '—', '25C-006', 'Kohaku']",['Kohaku'],,,['Kohaku'],Default Title — 25C-006 Kohaku,aa355a,Default Title,champkoi
,,Single_Koi,,"['25C-007', 'Kohaku']",,,,,champkoi_data/29fd2c_Default_Title_—_25C-007_Kohaku.jpg,https://cdn.shopify.com/s/files/1/0749/6132/2296/files/25C-007_600x_cc58ba91-cdfb-4b22-82aa-c01ba1f2621c.jpg?v=1744417987,True,,,https://www.champkoi.com/products/25c-007-kohaku,False,False,600.0,9868734038328,"['Default', 'Title', '—', '25C-007', 'Kohaku']",['Kohaku'],,,['Kohaku'],Default Title — 25C-007 Kohaku,29fd2c,Default Title,champkoi
