image_path,tags,uuid,length,price_length,cleaned_price
grandkoi_data/27ac52_Gin Rin Showa.jpeg,"['Gin', 'Rin', 'Showa']",27ac52,18.0,7,799.0
grandkoi_data/0ce0cb_Gin Rin Showa.jpeg,"['Gin', 'Rin', 'Showa']",0ce0cb,18.0,7,799.0
grandkoi_data/62a2fe_Gin Rin Showa.jpeg,"['Gin', 'Rin', 'Showa']",62a2fe,16.0,7,699.0
grandkoi_data/5de622_Gin Rin Showa.jpeg,"['Gin', 'Rin', 'Showa']",5de622,18.0,7,799.0
grandkoi_data/77715e_Gin Rin Showa.jpeg,"['Gin', 'Rin', 'Showa']",77715e,18.0,7,799.0
grandkoi_data/68c31d_Gin Rin Showa.jpeg,"['Gin', 'Rin', 'Showa']",68c31d,17.0,7,699.0
grandkoi_data/40ec3e_Gin Rin Showa.jpeg,"['Gin', 'Rin', 'Showa']",40ec3e,17.0,7,999.0
grandkoi_data/e8b953_Gin Rin Showa.jpeg,"['Gin', 'Rin', 'Showa']",e8b953,16.0,7,699.0
grandkoi_data/6e2e01_Gin Rin Showa.jpeg,"['Gin', 'Rin', 'Showa']",6e2e01,17.0,7,699.0
grandkoi_data/d4954f_Hariwake.jpeg,['Hariwake'],d4954f,23.0,9,1299.0
grandkoi_data/bd1213_Gin Rin Ki Utsuri.jpeg,"['Gin', 'Rin', 'Ki', 'Utsuri']",bd1213,18.0,7,799.0
grandkoi_data/dcbe36_Gin Rin Ki Utsuri.jpeg,"['Gin', 'Rin', 'Ki', 'Utsuri']",dcbe36,19.0,7,799.0
grandkoi_data/a6f7d7_Gin Rin Ki Utsuri.jpeg,"['Gin', 'Rin', 'Ki', 'Utsuri']",a6f7d7,25.0,9,1399.0
grandkoi_data/9b3566_Gin Rin Ki Utsuri.jpeg,"['Gin', 'Rin', 'Ki', 'Utsuri']",9b3566,25.0,9,2999.0
grandkoi_data/260619_Ki Utsuri.jpeg,"['Ki', 'Utsuri']",260619,25.0,9,1499.0
grandkoi_data/a460ad_Ki Utsuri.jpeg,"['Ki', 'Utsuri']",a460ad,25.0,9,1499.0
grandkoi_data/13598d_Gin Rin Ki Utsuri.jpeg,"['Gin', 'Rin', 'Ki', 'Utsuri']",13598d,25.0,9,3999.0
grandkoi_data/df553a_Kogane Ochiba.jpeg,"['Kogane', 'Ochiba']",df553a,30.0,10,15999.0
grandkoi_data/4b7981_Jumbo Kogane Ochiba.jpeg,"['Jumbo', 'Kogane', 'Ochiba']",4b7981,34.0,10,25999.0
grandkoi_data/98d672_Kage Ki Utsuri.jpeg,"['Kage', 'Ki', 'Utsuri']",98d672,31.0,10,19999.0
grandkoi_data/9547eb_Jumbo Back Diamond.jpeg,"['Jumbo', 'Back', 'Diamond']",9547eb,33.0,10,24999.0
grandkoi_data/0a839c_Sanke-.jpeg,['Sanke'],0a839c,34.0,10,32999.0
grandkoi_data/c07aa7_Shiro Utsuri.jpeg,"['Shiro', 'Utsuri']",c07aa7,32.0,10,12999.0
grandkoi_data/32e7d1_Shiro Utsuri.jpeg,"['Shiro', 'Utsuri']",32e7d1,34.0,10,24999.0
grandkoi_data/c424bc_Kohaku.jpeg,['Kohaku'],c424bc,28.0,9,9999.0
grandkoi_data/ec737d_Doitsu Karashigoi.jpeg,"['Doitsu', 'Karashigoi']",ec737d,33.0,9,9999.0
grandkoi_data/7bd982_Kujaku.jpeg,['Kujaku'],7bd982,28.0,9,8999.0
grandkoi_data/b943a4_Kogane Ochiba.jpeg,"['Kogane', 'Ochiba']",b943a4,30.0,9,8999.0
grandkoi_data/5a4238_Kujaku.png,['Kujaku'],5a4238,23.0,76,3999.0
grandkoi_data/b24afb_Gin Rin Red Chagoi.jpeg,"['Gin', 'Rin', 'Red', 'Chagoi']",b24afb,21.0,9,2799.0
grandkoi_data/e8d468_Gin Rin Red Chagoi.jpeg,"['Gin', 'Rin', 'Red', 'Chagoi']",e8d468,21.0,9,2799.0
grandkoi_data/0348dc_Gin Rin Asagi.jpeg,"['Gin', 'Rin', 'Asagi']",0348dc,21.0,9,1299.0
grandkoi_data/e80e2f_Gin Rin Asagi.jpeg,"['Gin', 'Rin', 'Asagi']",e80e2f,17.0,7,799.0
grandkoi_data/0f5b00_Gin Rin Platinum.jpeg,"['Gin', 'Rin', 'Platinum']",0f5b00,19.0,7,699.0
grandkoi_data/983e19_Gin Rin Kawarimono.jpeg,"['Gin', 'Rin', 'Kawarimono']",983e19,20.0,7,999.0
grandkoi_data/20dd00_Gin Rin Black Diamond.jpeg,"['Gin', 'Rin', 'Black', 'Diamond']",20dd00,22.0,9,1199.0
grandkoi_data/60e73a_Gin Rin Kawarimono.jpeg,"['Gin', 'Rin', 'Kawarimono']",60e73a,20.0,7,999.0
grandkoi_data/df6347_Gin Rin Kawarimono.jpeg,"['Gin', 'Rin', 'Kawarimono']",df6347,20.0,7,999.0
grandkoi_data/0914ef_Gin Rin Black Diamond.jpeg,"['Gin', 'Rin', 'Black', 'Diamond']",0914ef,24.0,9,1299.0
grandkoi_data/b03efd_Gin Rin Matsukawabake.jpeg,"['Gin', 'Rin', 'Matsukawabake']",b03efd,21.0,7,999.0
grandkoi_data/b7a4a8_Gin Rin Kawarimono.jpeg,"['Gin', 'Rin', 'Kawarimono']",b7a4a8,19.0,7,899.0
grandkoi_data/6d7a17_Gin Rin Matsukawabake.jpeg,"['Gin', 'Rin', 'Matsukawabake']",6d7a17,20.0,7,999.0
grandkoi_data/b4e05c_Gin Rin Benigoi.jpeg,"['Gin', 'Rin', 'Benigoi']",b4e05c,23.0,9,1299.0
grandkoi_data/24c9d0_Gin Rin Benigoi.jpeg,"['Gin', 'Rin', 'Benigoi']",24c9d0,24.0,9,1499.0
grandkoi_data/eadcd4_Gin Rin Benigoi.jpeg,"['Gin', 'Rin', 'Benigoi']",eadcd4,21.0,9,1299.0
grandkoi_data/1adda9_Gin Rin Benigoi.jpeg,"['Gin', 'Rin', 'Benigoi']",1adda9,23.0,9,1499.0
grandkoi_data/f25237_Kohaku.jpeg,['Kohaku'],f25237,29.0,10,15999.0
grandkoi_data/cebd0a_Kohaku.jpeg,['Kohaku'],cebd0a,31.0,10,20999.0
grandkoi_data/54fe41_Kohaku.jpeg,['Kohaku'],54fe41,30.0,10,19999.0
grandkoi_data/232047_Kohaku.jpeg,['Kohaku'],232047,32.0,10,22999.0
grandkoi_data/5c005a_Kohaku.jpeg,['Kohaku'],5c005a,32.0,10,22999.0
grandkoi_data/2b94fa_Kohaku.jpeg,['Kohaku'],2b94fa,32.0,10,20999.0
grandkoi_data/4922e8_Kohaku.jpeg,['Kohaku'],4922e8,31.0,10,22999.0
grandkoi_data/b3b680_Kohaku.jpeg,['Kohaku'],b3b680,30.0,10,20999.0
grandkoi_data/3b5423_Kohaku.jpeg,['Kohaku'],3b5423,31.0,10,22999.0
grandkoi_data/f91283_Gin Rin Showa.jpg,"['Gin', 'Rin', 'Showa']",f91283,22.0,9,2799.0
grandkoi_data/f8c217_Gi Rin Hi Utsuri.jpeg,"['Gi', 'Rin', 'Hi', 'Utsuri']",f8c217,30.0,9,8999.0
grandkoi_data/0384fb_Hi Utsuri.jpeg,"['Hi', 'Utsuri']",0384fb,29.0,9,8999.0
grandkoi_data/a3eac2_Gin Rin Maruten Kohaku.jpeg,"['Gin', 'Rin', 'Maruten', 'Kohaku']",a3eac2,26.0,9,7999.0
grandkoi_data/266436_Gin Rin Kohaku.jpeg,"['Gin', 'Rin', 'Kohaku']",266436,26.0,9,5999.0
grandkoi_data/eea59b_Gin Rin Ochiba.jpeg,"['Gin', 'Rin', 'Ochiba']",eea59b,22.0,9,2999.0
grandkoi_data/d7ac24_Kohaku.jpeg,['Kohaku'],d7ac24,26.0,9,4999.0
grandkoi_data/2206b8_Kohaku.jpeg,['Kohaku'],2206b8,25.0,9,5999.0
grandkoi_data/addef3_Benigoi.jpeg,['Benigoi'],addef3,23.0,9,3499.0
grandkoi_data/ffa1a8_Benigoi.jpeg,['Benigoi'],ffa1a8,26.0,76,1999.0
grandkoi_data/45a181_Benigoi.jpeg,['Benigoi'],45a181,23.0,9,2999.0
grandkoi_data/a9d29c_Benigoi.jpeg,['Benigoi'],a9d29c,26.0,9,3499.0
grandkoi_data/2c3fe1_Benigoi.jpeg,['Benigoi'],2c3fe1,24.0,76,1999.0
grandkoi_data/2d8561_Benigoi.jpeg,['Benigoi'],2d8561,24.0,9,3499.0
grandkoi_data/67c13a_Benigoi.jpeg,['Benigoi'],67c13a,24.0,76,1999.0
grandkoi_data/8d8638_Benigoi.jpeg,['Benigoi'],8d8638,26.0,9,3499.0
grandkoi_data/8837f7_Benigoi.jpeg,['Benigoi'],8837f7,24.0,76,1999.0
grandkoi_data/e60c05_Benigoi.jpeg,['Benigoi'],e60c05,26.0,76,1999.0
grandkoi_data/f2d371_Benigoi.jpeg,['Benigoi'],f2d371,23.0,76,1999.0
grandkoi_data/5ef063_Benigoi.jpeg,['Benigoi'],5ef063,26.0,9,3999.0
grandkoi_data/9d5bd8_Benigoi.jpeg,['Benigoi'],9d5bd8,26.0,9,3999.0
grandkoi_data/bd49c4_Benigoi.jpeg,['Benigoi'],bd49c4,24.0,76,1999.0
grandkoi_data/86e1b7_Benigoi.jpeg,['Benigoi'],86e1b7,23.0,76,1699.0
grandkoi_data/fdf9d1_Benigoi.jpeg,['Benigoi'],fdf9d1,26.0,76,2499.0
grandkoi_data/357257_Gin Rin Chagoi.jpeg,"['Gin', 'Rin', 'Chagoi']",357257,34.0,10,12999.0
grandkoi_data/a5900a_Tancho Kohaku.jpeg,"['Tancho', 'Kohaku']",a5900a,22.0,9,4999.0
grandkoi_data/9b6b54_Tancho Kohaku.jpeg,"['Tancho', 'Kohaku']",9b6b54,23.0,9,4999.0
grandkoi_data/f9b71b_Tancho Kohaku.jpeg,"['Tancho', 'Kohaku']",f9b71b,22.0,9,3999.0
grandkoi_data/0ab314_Tancho Kohaku.jpeg,"['Tancho', 'Kohaku']",0ab314,22.0,9,3999.0
grandkoi_data/a65473_Tancho Kohaku.jpeg,"['Tancho', 'Kohaku']",a65473,23.0,9,4999.0
grandkoi_data/899484_Tancho Kohaku.jpeg,"['Tancho', 'Kohaku']",899484,21.0,9,3999.0
grandkoi_data/58be02_Tancho Kohaku.jpeg,"['Tancho', 'Kohaku']",58be02,24.0,9,3999.0
grandkoi_data/21e93d_Tancho Kohaku.jpeg,"['Tancho', 'Kohaku']",21e93d,26.0,9,7999.0
grandkoi_data/65457f_Tancho Showa.jpeg,"['Tancho', 'Showa']",65457f,29.0,10,16999.0
grandkoi_data/079942_Ki Matsuba.jpeg,"['Ki', 'Matsuba']",079942,33.0,9,9999.0
grandkoi_data/208a37_Ki Matsuba.jpeg,"['Ki', 'Matsuba']",208a37,36.0,9,9999.0
grandkoi_data/b31b29_Hi Matsuba.jpeg,"['Hi', 'Matsuba']",b31b29,35.0,10,19999.0
grandkoi_data/7d4aa0_Saragoi.jpeg,['Saragoi'],7d4aa0,30.0,10,16999.0
grandkoi_data/893144_Matsuba.jpeg,['Matsuba'],893144,34.0,10,20999.0
grandkoi_data/4c3007_Kin Ki Matsuba.jpeg,"['Kin', 'Ki', 'Matsuba']",4c3007,34.0,10,22999.0
grandkoi_data/6b8835_Cha Utsuri.jpeg,"['Cha', 'Utsuri']",6b8835,35.0,10,19999.0
grandkoi_data/4ecc34_Gin Rin Kohaku.jpeg,"['Gin', 'Rin', 'Kohaku']",4ecc34,24.0,9,7999.0
grandkoi_data/3f8f3a_Gin Rin Kohaku.jpeg,"['Gin', 'Rin', 'Kohaku']",3f8f3a,26.0,9,9999.0
grandkoi_data/a72d87_Kohaku.jpeg,['Kohaku'],a72d87,27.0,10,12999.0
grandkoi_data/5a5a7a_Kohaku.jpeg,['Kohaku'],5a5a7a,29.0,10,12999.0
grandkoi_data/3a15df_Kohaku.jpeg,['Kohaku'],3a15df,25.0,9,8999.0
grandkoi_data/095892_Kohaku.jpeg,['Kohaku'],095892,27.0,10,10999.0
grandkoi_data/2be6e2_Kohaku.jpeg,['Kohaku'],2be6e2,27.0,10,10999.0
grandkoi_data/002cbe_Kohaku.jpeg,['Kohaku'],002cbe,27.0,10,10999.0
grandkoi_data/57e1b4_Sumi Goromo.jpeg,"['Sumi', 'Goromo']",57e1b4,26.0,9,6999.0
grandkoi_data/a28a97_Gin Rin Benigoi.jpeg,"['Gin', 'Rin', 'Benigoi']",a28a97,27.0,9,8999.0
grandkoi_data/2d21ac_Tancho Kohaku.jpeg,"['Tancho', 'Kohaku']",2d21ac,25.0,9,8999.0
grandkoi_data/696685_Tancho Kohaku.jpeg,"['Tancho', 'Kohaku']",696685,25.0,9,8999.0
grandkoi_data/d0fef2_Tancho Kohaku.jpeg,"['Tancho', 'Kohaku']",d0fef2,26.0,9,8999.0
grandkoi_data/1465a4_Tancho Kohaku.jpeg,"['Tancho', 'Kohaku']",1465a4,28.0,9,8999.0
grandkoi_data/178538_Beni Kumonryu.jpeg,"['Beni', 'Kumonryu']",178538,26.0,9,6999.0
grandkoi_data/703061_Shusui.jpeg,['Shusui'],703061,26.0,9,5999.0
grandkoi_data/15f41d_Kumonryu.jpeg,['Kumonryu'],15f41d,25.0,9,8999.0
grandkoi_data/24acad_Black Diamond.jpeg,"['Black', 'Diamond']",24acad,31.0,10,14999.0
grandkoi_data/1457e4_Aka Matsuba.jpeg,"['Aka', 'Matsuba']",1457e4,29.0,10,14999.0
grandkoi_data/6ac2d7_Aka Matsuba.jpeg,"['Aka', 'Matsuba']",6ac2d7,28.0,10,12999.0
grandkoi_data/48e173_Yamabuki.jpeg,['Yamabuki'],48e173,33.0,10,15999.0
grandkoi_data/aff8cc_Yamabuki.jpeg,['Yamabuki'],aff8cc,33.0,10,12999.0
grandkoi_data/ce40f9_Yamabuki.jpeg,['Yamabuki'],ce40f9,33.0,9,9999.0
grandkoi_data/474f2b_Tancho Sanke.jpeg,"['Tancho', 'Sanke']",474f2b,24.0,9,3499.0
grandkoi_data/df70c8_Tancho Goshiki.jpeg,"['Tancho', 'Goshiki']",df70c8,22.0,9,1999.0
grandkoi_data/0d4fee_Hi Utsuri.jpg,"['Hi', 'Utsuri']",0d4fee,19.0,9,1999.0
grandkoi_data/d8211f_Hi Utsuri.jpg,"['Hi', 'Utsuri']",d8211f,19.0,9,1999.0
grandkoi_data/61959f_Hi Utsuri.jpg,"['Hi', 'Utsuri']",61959f,19.0,9,2099.0
grandkoi_data/d66cd0_Hi Utsuri.jpg,"['Hi', 'Utsuri']",d66cd0,21.0,9,2099.0
grandkoi_data/00b25a_Hi Utsuri.jpg,"['Hi', 'Utsuri']",00b25a,19.0,9,1999.0
grandkoi_data/b57d34_Hi Utsuri.jpg,"['Hi', 'Utsuri']",b57d34,25.0,9,2299.0
grandkoi_data/33ede0_Hi Utsuri.jpg,"['Hi', 'Utsuri']",33ede0,19.0,9,1999.0
grandkoi_data/a9c28e_Showa.jpeg,['Showa'],a9c28e,29.0,10,15999.0
grandkoi_data/098839_Showa.jpeg,['Showa'],098839,28.0,10,15999.0
grandkoi_data/ac737f_Showa.jpeg,['Showa'],ac737f,30.0,10,14999.0
grandkoi_data/c473b2_Showa.jpeg,['Showa'],c473b2,33.0,10,17999.0
grandkoi_data/264622_Showa.jpeg,['Showa'],264622,29.0,78,10999.0
grandkoi_data/da4ce1_Showa.jpeg,['Showa'],da4ce1,29.0,10,19999.0
grandkoi_data/84f22f_Showa.jpeg,['Showa'],84f22f,28.0,10,12999.0
grandkoi_data/d9ea14_Showa.jpeg,['Showa'],d9ea14,27.0,10,12999.0
grandkoi_data/040c9c_Sanke.jpeg,['Sanke'],040c9c,28.0,9,8999.0
grandkoi_data/94da16_Showa.jpeg,['Showa'],94da16,28.0,10,14999.0
grandkoi_data/9ca522_Showa.jpeg,['Showa'],9ca522,29.0,10,14999.0
grandkoi_data/deacdd_Showa.jpeg,['Showa'],deacdd,29.0,10,15999.0
grandkoi_data/738b98_Showa.jpeg,['Showa'],738b98,30.0,10,14999.0
grandkoi_data/fb52de_Showa.jpeg,['Showa'],fb52de,31.0,80,14999.0
grandkoi_data/6fdbad_Showa.jpeg,['Showa'],6fdbad,30.0,10,16999.0
grandkoi_data/484046_Showa.jpeg,['Showa'],484046,27.0,10,16999.0
grandkoi_data/6cd262_Showa.jpeg,['Showa'],6cd262,27.0,10,19999.0
grandkoi_data/8e7615_Showa.jpeg,['Showa'],8e7615,30.0,10,18999.0
grandkoi_data/088455_Showa.jpeg,['Showa'],088455,30.0,10,12999.0
grandkoi_data/fa2cb7_Maruten Showa.jpeg,"['Maruten', 'Showa']",fa2cb7,32.0,10,15999.0
grandkoi_data/d48379_Maruten Sanke.jpeg,"['Maruten', 'Sanke']",d48379,30.0,10,15999.0
grandkoi_data/8ac086_Showa.jpeg,['Showa'],8ac086,32.0,10,14999.0
grandkoi_data/6fd0f2_Maruten Showa.jpeg,"['Maruten', 'Showa']",6fd0f2,28.0,10,14999.0
grandkoi_data/775a37_Showa.jpeg,['Showa'],775a37,31.0,10,24999.0
grandkoi_data/b3941d_Sanke.jpeg,['Sanke'],b3941d,30.0,10,15999.0
grandkoi_data/b0e914_Sanke.jpeg,['Sanke'],b0e914,30.0,10,19999.0
grandkoi_data/5ce53f_Sanke.jpeg,['Sanke'],5ce53f,29.0,10,11999.0
grandkoi_data/bdca28_Showa.jpeg,['Showa'],bdca28,34.0,10,14999.0
grandkoi_data/1f82d8_HI Matsuba.jpeg,"['HI', 'Matsuba']",1f82d8,31.0,9,6999.0
grandkoi_data/7e1814_Beni Kikokuryu.jpeg,"['Beni', 'Kikokuryu']",7e1814,28.0,9,4499.0
grandkoi_data/d5510c_Benigoi.jpeg,['Benigoi'],d5510c,30.0,9,9999.0
grandkoi_data/34aff8_Shiro Utsuri.jpeg,"['Shiro', 'Utsuri']",34aff8,25.0,9,3999.0
grandkoi_data/e68f3c_Showa.jpeg,['Showa'],e68f3c,29.0,76,6500.0
grandkoi_data/63cc44_Showa.jpeg,['Showa'],63cc44,28.0,76,5999.0
grandkoi_data/d1957a_Sanke.jpeg,['Sanke'],d1957a,26.0,76,3999.0
grandkoi_data/83a08f_Maruten Showa.jpeg,"['Maruten', 'Showa']",83a08f,28.0,76,5999.0
grandkoi_data/e8edc3_Sanke.jpeg,['Sanke'],e8edc3,30.0,76,4499.0
grandkoi_data/396463_Sanke.jpeg,['Sanke'],396463,23.0,76,1999.0
grandkoi_data/f14f87_Sanke.jpeg,['Sanke'],f14f87,27.0,9,5999.0
grandkoi_data/ca4428_Gin Rin Shiro Utsuri.jpg,"['Gin', 'Rin', 'Shiro', 'Utsuri']",ca4428,28.0,9,8999.0
grandkoi_data/4d019c_Doitsu Sanke.jpg,"['Doitsu', 'Sanke']",4d019c,29.0,76,6999.0
grandkoi_data/5946da_Shusui.jpg,['Shusui'],5946da,25.0,9,5999.0
grandkoi_data/ab9fa6_Doitsu Maruten Showa.jpg,"['Doitsu', 'Maruten', 'Showa']",ab9fa6,28.0,10,10999.0
grandkoi_data/d17073_Doitsu Showa.jpg,"['Doitsu', 'Showa']",d17073,27.0,10,12999.0
grandkoi_data/eb4d0f_Beni Kikokuryu.jpg,"['Beni', 'Kikokuryu']",eb4d0f,28.0,76,4999.0
grandkoi_data/fd4e69_Doitsu Kigoi.jpg,"['Doitsu', 'Kigoi']",fd4e69,32.0,10,11999.0
grandkoi_data/081326_Maruten Kohaku.jpg,"['Maruten', 'Kohaku']",081326,28.0,10,12999.0
grandkoi_data/ca6625_Showa.jpg,['Showa'],ca6625,29.0,9,8999.0
grandkoi_data/e52511_Tancho sanke.jpg,"['Tancho', 'sanke']",e52511,30.0,10,12999.0
grandkoi_data/1e0e56_Showa.jpg,['Showa'],1e0e56,31.0,10,11999.0
grandkoi_data/1a5557_Sanke.jpg,['Sanke'],1a5557,31.0,9,8999.0
grandkoi_data/7db0c3_Gin Rin Ochiba.jpg,"['Gin', 'Rin', 'Ochiba']",7db0c3,29.0,9,8999.0
grandkoi_data/1d7398_Kohaku.jpg,['Kohaku'],1d7398,30.0,10,19999.0
grandkoi_data/880c54_Kohaku- SOLD.jpg,['Kohaku'],880c54,35.0,10,26999.0
grandkoi_data/671c59_Kawarimono.jpg,['Kawarimono'],671c59,25.0,9,4999.0
grandkoi_data/9ebfbd_Doitsu Kohaku.jpg,"['Doitsu', 'Kohaku']",9ebfbd,20.0,9,4999.0
grandkoi_data/c96944_Doitsu Shiro.jpg,"['Doitsu', 'Shiro']",c96944,16.0,9,1999.0
grandkoi_data/e3eb8f_Doitsu Showa.jpg,"['Doitsu', 'Showa']",e3eb8f,17.0,9,2999.0
grandkoi_data/010e6a_Doitsu Showa.jpg,"['Doitsu', 'Showa']",010e6a,18.0,9,2499.0
grandkoi_data/2c882b_Doitsu sanke.jpg,"['Doitsu', 'sanke']",2c882b,17.0,9,1599.0
grandkoi_data/942f03_Doitsu Sanke.jpg,"['Doitsu', 'Sanke']",942f03,16.0,9,1699.0
grandkoi_data/c9d215_Doitsu Showa.jpg,"['Doitsu', 'Showa']",c9d215,17.0,9,1999.0
grandkoi_data/99425e_Doitsu Showa.jpg,"['Doitsu', 'Showa']",99425e,16.0,9,1999.0
grandkoi_data/7a4636_Doitsu Showa.jpg,"['Doitsu', 'Showa']",7a4636,18.0,9,1899.0
grandkoi_data/aec2cf_Kin Ki Utsuri.jpg,"['Kin', 'Ki', 'Utsuri']",aec2cf,22.0,9,2999.0
grandkoi_data/01f3ed_Doitsu Showa.jpg,"['Doitsu', 'Showa']",01f3ed,17.0,9,1899.0
grandkoi_data/ca8107_Doitsu Showa.jpg,"['Doitsu', 'Showa']",ca8107,17.0,9,1899.0
grandkoi_data/b168d6_Gin rin Showa.jpg,"['Gin', 'rin', 'Showa']",b168d6,28.0,10,14999.0
grandkoi_data/1fefaa_Gin Rin Showa.jpg,"['Gin', 'Rin', 'Showa']",1fefaa,29.0,10,12999.0
